chr1	144000000	144005000	chr1	120745000	120750000	74.000000	0.000000
chr1	145145000	145150000	chr1	120670000	120675000	49.000000	0.000000
chr12	27640000	27645000	chr12	27635000	27640000	135.000000	0.000000
chr15	60525000	60530000	chr15	60520000	60525000	109.000000	0.000000
chr1	145210000	145215000	chr1	120605000	120610000	40.000000	0.000000
chr7	98705000	98710000	chr7	98700000	98705000	95.000000	0.000000
chr14	84950000	84955000	chr14	84945000	84950000	95.000000	0.000000
chr1	142895000	142900000	chr21	10155000	10160000	36.000000	0.000000
chr21	10155000	10160000	chr1	142895000	142900000	36.000000	0.000000
chr9	125225000	125230000	chr9	125220000	125225000	106.000000	0.000000
chr1	142900000	142905000	chr21	10150000	10155000	34.000000	0.000000
chr21	10150000	10155000	chr1	142900000	142905000	34.000000	0.000000
chr2	91680000	91685000	chr2	90460000	90465000	34.000000	0.000000
chr4	191030000	191035000	chr4	25000	30000	33.000000	0.000000
chr7	107665000	107670000	chr7	107660000	107665000	104.000000	0.000000
chr4	88160000	88165000	chr4	88155000	88160000	103.000000	0.000000
chr9	73005000	73010000	chr9	73000000	73005000	103.000000	0.000000
chrY	28815000	28820000	chrY	28790000	28795000	61.000000	0.000000
chr2	212525000	212530000	chr2	212520000	212525000	88.000000	0.000000
chr8	62625000	62630000	chr8	62620000	62625000	87.000000	0.000000
chr11	66630000	66635000	chr11	66625000	66630000	64.000000	0.000000
chr3	162145000	162150000	chr3	162140000	162145000	66.000000	0.000000
chr15	68380000	68385000	chr15	68375000	68380000	80.000000	0.000000
chr10	80475000	80480000	chr10	80470000	80475000	98.000000	0.000000
chr3	137600000	137605000	chr3	137595000	137600000	75.000000	0.000000
chr8	10580000	10585000	chr8	10575000	10580000	85.000000	0.000000
chr6	27900000	27905000	chr6	27895000	27900000	77.000000	0.000000
chr14	47195000	47200000	chr14	47190000	47195000	45.000000	0.000000
chr4	162755000	162760000	chr4	162540000	162545000	29.000000	0.000000
chr12	29450000	29455000	chr12	29445000	29450000	89.000000	0.000000
chr13	34410000	34415000	chr13	34405000	34410000	99.000000	0.000000
chr4	191015000	191020000	chr4	30000	35000	28.000000	0.000000
chr1	145250000	145255000	chr1	120565000	120570000	28.000000	0.000000
chr22	37700000	37705000	chr22	37695000	37700000	85.000000	0.000000
chr16	9940000	9945000	chr16	9935000	9940000	87.000000	0.000000
chr5	72760000	72765000	chr5	72755000	72760000	88.000000	0.000000
chr1	17080000	17085000	chr1	16975000	16980000	37.000000	0.000000
chr10	33330000	33335000	chr10	33325000	33330000	87.000000	0.000000
chr11	17170000	17175000	chr11	17165000	17170000	73.000000	0.000000
chr6	147350000	147355000	chr6	147345000	147350000	65.000000	0.000000
chr17	67430000	67435000	chr17	67425000	67430000	101.000000	0.000000
chr1	22160000	22165000	chr1	22155000	22160000	108.000000	0.000000
chr15	22015000	22020000	chr15	21005000	21010000	27.000000	0.000000
chr7	76455000	76460000	chr1	83835000	83840000	27.000000	0.000000
chr1	83835000	83840000	chr7	76455000	76460000	27.000000	0.000000
chr1	234920000	234925000	chr1	17120000	17125000	27.000000	0.000000
chr20	16255000	16260000	chr20	16250000	16255000	79.000000	0.000000
chr8	46840000	46845000	chr8	43820000	43825000	27.000000	0.000000
chr8	46840000	46845000	chr8	43835000	43840000	27.000000	0.000000
chr9	68415000	68420000	chr9	66455000	66460000	27.000000	0.000000
chr8	70530000	70535000	chr8	70525000	70530000	91.000000	0.000000
chr13	51260000	51265000	chr13	51255000	51260000	95.000000	0.000000
chr6	111430000	111435000	chr6	111425000	111430000	82.000000	0.000000
chr6	120225000	120230000	chr6	120220000	120225000	83.000000	0.000000
chr5	154020000	154025000	chr5	154015000	154020000	75.000000	0.000000
chr17	19215000	19220000	chr17	19210000	19215000	81.000000	0.000000
chr1	105250000	105255000	chr1	105245000	105250000	84.000000	0.000000
chr17	42160000	42165000	chr17	42155000	42160000	97.000000	0.000000
chr1	17195000	17200000	chr1	16860000	16865000	26.000000	0.000000
chr4	185305000	185310000	chr4	185300000	185305000	80.000000	0.000000
chr18	6630000	6635000	chr18	6625000	6630000	86.000000	0.000000
chr16	22705000	22710000	chr16	21590000	21595000	26.000000	0.000000
chr1	22155000	22160000	chr1	22150000	22155000	83.000000	0.000000
chr9	95660000	95665000	chr9	95655000	95660000	68.000000	0.000000
chr7	39665000	39670000	chr7	39660000	39665000	66.000000	0.000000
chr6	32375000	32380000	chr6	32370000	32375000	60.000000	0.000000
chr8	116720000	116725000	chr8	116715000	116720000	77.000000	0.000000
chr20	61555000	61560000	chr20	61550000	61555000	73.000000	0.000000
chr20	12525000	12530000	chr20	12520000	12525000	58.000000	0.000000
chr9	129960000	129965000	chr9	129700000	129705000	28.000000	0.000000
chr6	39600000	39605000	chr6	39595000	39600000	80.000000	0.000000
chr6	66210000	66215000	chr6	66205000	66210000	71.000000	0.000000
chr2	121835000	121840000	chr2	121450000	121455000	26.000000	0.000000
chr16	74430000	74435000	chr16	70230000	70235000	25.000000	0.000000
chr12	28135000	28140000	chr12	28130000	28135000	73.000000	0.000000
chr7	61055000	61060000	chr7	61050000	61055000	53.000000	0.000000
chr4	191025000	191030000	chr4	25000	30000	25.000000	0.000000
chr11	45905000	45910000	chr11	45900000	45905000	100.000000	0.000000
chr13	54225000	54230000	chr13	54220000	54225000	50.000000	0.000000
chr12	20215000	20220000	chr12	20210000	20215000	72.000000	0.000000
chr14	27035000	27040000	chr14	27030000	27035000	72.000000	0.000000
chr22	28065000	28070000	chr22	28060000	28065000	83.000000	0.000000
chr3	194155000	194160000	chr3	194150000	194155000	90.000000	0.000000
chr2	55775000	55780000	chr2	55770000	55775000	72.000000	0.000000
chr19	42425000	42430000	chr19	42420000	42425000	48.000000	0.000000
chr1	143475000	143480000	chr21	9975000	9980000	24.000000	0.000000
chr21	9975000	9980000	chr1	143475000	143480000	24.000000	0.000000
chr6	58165000	58170000	chr6	26700000	26705000	24.000000	0.000000
chr14	75125000	75130000	chr14	75120000	75125000	87.000000	0.000000
chr6	126085000	126090000	chr6	125630000	125635000	24.000000	0.000000
chr11	69035000	69040000	chr11	69030000	69035000	84.000000	0.000000
chr4	15565000	15570000	chr4	15560000	15565000	91.000000	0.000000
chr8	64900000	64905000	chr8	64895000	64900000	62.000000	0.000000
chr19	41755000	41760000	chr19	41750000	41755000	83.000000	0.000000
chr13	51555000	51560000	chr13	51550000	51555000	50.000000	0.000000
chr5	53645000	53650000	chr5	53640000	53645000	51.000000	0.000000
chr6	156135000	156140000	chr6	156130000	156135000	85.000000	0.000000
chr11	45125000	45130000	chr11	44955000	44960000	31.000000	0.000000
chr2	183120000	183125000	chr2	183115000	183120000	82.000000	0.000000
chr14	32130000	32135000	chr14	32125000	32130000	64.000000	0.000000
chr14	25385000	25390000	chr14	25380000	25385000	53.000000	0.000000
chr4	49265000	49270000	chrY	13265000	13270000	23.000000	0.000000
chrY	13265000	13270000	chr4	49265000	49270000	23.000000	0.000000
chr12	26250000	26255000	chr12	26245000	26250000	63.000000	0.000000
chr1	145220000	145225000	chr1	120600000	120605000	23.000000	0.000000
chr16	63740000	63745000	chr16	63735000	63740000	63.000000	0.000000
chr1	145215000	145220000	chr1	120605000	120610000	23.000000	0.000000
chr1	234910000	234915000	chr1	17055000	17060000	23.000000	0.000000
chr16	22705000	22710000	chr16	21580000	21585000	23.000000	0.000000
chr3	32400000	32405000	chr3	32395000	32400000	77.000000	0.000000
chr6	82080000	82085000	chr6	82075000	82080000	62.000000	0.000000
chr1	80850000	80855000	chr1	80845000	80850000	83.000000	0.000000
chr15	75485000	75490000	chr15	75480000	75485000	83.000000	0.000000
chr15	74225000	74230000	chr15	74220000	74225000	63.000000	0.000000
chr12	54135000	54140000	chr12	54095000	54100000	47.000000	0.000000
chr12	80750000	80755000	chr12	80745000	80750000	74.000000	0.000000
chr14	75915000	75920000	chr14	75910000	75915000	86.000000	0.000000
chr3	52170000	52175000	chr3	52035000	52040000	31.000000	0.000000
chr14	37125000	37130000	chr14	37120000	37125000	90.000000	0.000000
chr16	20895000	20900000	chr16	20890000	20895000	80.000000	0.000000
chr2	150420000	150425000	chr2	150415000	150420000	75.000000	0.000000
chr19	35265000	35270000	chr19	35260000	35265000	62.000000	0.000000
chr1	214685000	214690000	chr1	214680000	214685000	70.000000	0.000000
chr12	60440000	60445000	chr12	60435000	60440000	58.000000	0.000000
chr8	46910000	46915000	chr8	46905000	46910000	58.000000	0.000000
chr11	9730000	9735000	chr11	9725000	9730000	65.000000	0.000000
chr11	85635000	85640000	chr11	85630000	85635000	88.000000	0.000000
chr2	192020000	192025000	chr2	192015000	192020000	73.000000	0.000000
chr6	43980000	43985000	chr6	43975000	43980000	88.000000	0.000000
chr3	171890000	171895000	chr3	171885000	171890000	73.000000	0.000000
chr15	59150000	59155000	chr15	59145000	59150000	78.000000	0.000000
chr2	160625000	160630000	chr2	160620000	160625000	73.000000	0.000000
chr3	14750000	14755000	chr3	14745000	14750000	85.000000	0.000000
chr1	185730000	185735000	chr1	185725000	185730000	79.000000	0.000000
chr12	165000	170000	chr20	62960000	62965000	22.000000	0.000000
chr20	62960000	62965000	chr12	165000	170000	22.000000	0.000000
chr11	130730000	130735000	chr11	130305000	130310000	22.000000	0.000000
chr10	125725000	125730000	chr10	125340000	125345000	22.000000	0.000000
chr2	208335000	208340000	chr2	207845000	207850000	22.000000	0.000000
chr5	28140000	28145000	chr5	28135000	28140000	56.000000	0.000000
chr11	2170000	2175000	chr11	2055000	2060000	30.000000	0.000000
chr18	43410000	43415000	chr18	43405000	43410000	66.000000	0.000000
chr15	68650000	68655000	chr15	68645000	68650000	72.000000	0.000000
chr13	75420000	75425000	chr13	75415000	75420000	62.000000	0.000000
chr20	39355000	39360000	chr20	39350000	39355000	66.000000	0.000000
chr7	30995000	31000000	chr7	30990000	30995000	80.000000	0.000000
chr6	112015000	112020000	chr6	112010000	112015000	82.000000	0.000000
chr7	65925000	65930000	chr7	65920000	65925000	77.000000	0.000000
chr3	66330000	66335000	chr3	66325000	66330000	87.000000	0.000000
chr3	51200000	51205000	chr3	51195000	51200000	68.000000	0.000000
chr9	66455000	66460000	chr9	66450000	66455000	57.000000	0.000000
chr2	13360000	13365000	chr2	13355000	13360000	62.000000	0.000000
chr21	36100000	36105000	chr21	36095000	36100000	67.000000	0.000000
chr8	93825000	93830000	chr8	93820000	93825000	62.000000	0.000000
chr17	66395000	66400000	chr17	66255000	66260000	28.000000	0.000000
chr15	35865000	35870000	chr15	35860000	35865000	66.000000	0.000000
chr17	56080000	56085000	chr17	55930000	55935000	29.000000	0.000000
chr2	190200000	190205000	chr2	190195000	190200000	84.000000	0.000000
chr3	42310000	42315000	chr3	42305000	42310000	71.000000	0.000000
chr17	56075000	56080000	chr17	55930000	55935000	28.000000	0.000000
chr13	81450000	81455000	chr13	81445000	81450000	60.000000	0.000000
chr1	22180000	22185000	chr1	22175000	22180000	92.000000	0.000000
chr11	110655000	110660000	chr11	110650000	110655000	83.000000	0.000000
chr16	14305000	14310000	chr16	14300000	14305000	82.000000	0.000000
chr5	122850000	122855000	chr5	122845000	122850000	73.000000	0.000000
chr6	153610000	153615000	chr6	153605000	153610000	68.000000	0.000000
